GENE	Degree	Betweenness	Closeness	Clustering	Brokering	Bridgeness
A1CF	4.000000000000000	288.001421339959563	0.260917183858013	0.000000000000000	0.000430524163169	142.028098195048557
A2M	68.000000000000000	123054.308185047033476	0.338988616462347	0.034679543459175	0.007065094289611	338.346750955929451
AAAS	1.000000000000000	0.000000000000000	0.243270842061165	0.000000000000000	0.000107631040792	0.000000000000000
AAGAB	1.000000000000000	0.000000000000000	0.251809090169933	0.000000000000000	0.000107631040792	0.000000000000000
AAK1	2.000000000000000	61.505104100140272	0.285227482040891	0.000000000000000	0.000215262081584	1159.887759060360167
AAMP	4.000000000000000	423.311760193508860	0.290280251195051	0.166666666666667	0.000358770135974	1616.473439897452636
AANAT	3.000000000000000	854.335020843667280	0.294475610915660	0.333333333333333	0.000215262081584	8460.639490344323349
AARS	5.000000000000000	279.666959823525815	0.309102402022756	0.500000000000000	0.000269077601980	919.982757269295462
AASDHPPT	7.000000000000000	2875.071933310404802	0.293545227638937	0.000000000000000	0.000753417285545	3582.764061184565890
AASS	1.000000000000000	0.000000000000000	0.288585184034788	0.000000000000000	0.000107631040792	0.000000000000000
AATF	21.000000000000000	14233.800112149237975	0.312376021248697	0.066666666666667	0.002109568399526	356.513090857439011
AATK	3.000000000000000	38.882700959641276	0.277832600699740	0.666666666666667	0.000107631040792	183.953610110957641
ABAT	2.000000000000000	202.915959428089252	0.264904627491233	0.000000000000000	0.000215262081584	200.623123728336850
ABCA1	37.000000000000000	53675.704533472387993	0.328675534172916	0.025525525525526	0.003880696970784	393.036280937785136
ABCA2	2.000000000000000	39.616348190580077	0.255345462540538	0.000000000000000	0.000215262081584	263.552969015227461
ABCA4	1.000000000000000	0.000000000000000	0.195418980312973	0.000000000000000	0.000107631040792	0.000000000000000
ABCA5	2.000000000000000	91.309888439679398	0.259677464434445	0.000000000000000	0.000215262081584	408.491606177513120
ABCA6	1.000000000000000	0.000000000000000	0.240974167444756	0.000000000000000	0.000107631040792	0.000000000000000
ABCB1	9.000000000000000	3385.541670343742680	0.308763417633179	0.027777777777778	0.000941771606931	470.940393300483606
ABCB11	3.000000000000000	111.614780493115333	0.268293387236500	0.000000000000000	0.000322893122376	96.999081749817094
ABCB4	2.000000000000000	17.381444586553911	0.246537175608979	0.000000000000000	0.000215262081584	47.930650223527458
ABCB6	2.000000000000000	13.742822408754941	0.264542581361579	0.000000000000000	0.000215262081584	170.308247794477154
ABCB7	2.000000000000000	1245.549702833599667	0.288989113530327	0.000000000000000	0.000215262081584	1859.946417235823901
ABCB8	1.000000000000000	0.000000000000000	0.248302955796675	0.000000000000000	0.000107631040792	0.000000000000000
ABCC1	3.000000000000000	60.309839608468195	0.274103139013453	0.000000000000000	0.000322893122376	69.625390218760813
ABCC2	8.000000000000000	3693.216249826560670	0.280499954714247	0.035714285714286	0.000830296600397	624.225942270693736
ABCC3	1.000000000000000	0.000000000000000	0.254352825229961	0.000000000000000	0.000107631040792	0.000000000000000
ABCC5	4.000000000000000	499.057052686353018	0.296089741546894	0.000000000000000	0.000430524163169	698.716379318852432
ABCC6	4.000000000000000	9527.438601449584894	0.267120924616181	0.000000000000000	0.000430524163169	2098.373504378687358
ABCC8	3.000000000000000	1135.866000219883745	0.220030313077251	0.000000000000000	0.000322893122376	534.525176574063039
ABCC9	4.000000000000000	3429.362934916030554	0.273562406147867	0.000000000000000	0.000430524163169	1871.544794361512459
ABCD1	4.000000000000000	432.571754519781848	0.255212196126906	0.500000000000000	0.000215262081584	227.851043881130124
ABCD2	3.000000000000000	0.000000000000000	0.241657346476968	1.000000000000000	0.000000000000000	0.000000000000000
ABCD3	16.000000000000000	12836.556976015455803	0.279151518793378	0.033333333333333	0.001664693430919	428.650422966902227
ABCD4	4.000000000000000	258.870302773832009	0.280483018867925	0.000000000000000	0.000430524163169	244.058181576385664
ABCE1	4.000000000000000	9590.779790736007271	0.288182382133995	0.000000000000000	0.000430524163169	1761.173369297478075
ABCF1	4.000000000000000	69.575445950398091	0.276254757373930	0.166666666666667	0.000358770135974	281.193833500208257
ABCF2	1.000000000000000	0.000000000000000	0.249912580358824	0.000000000000000	0.000107631040792	0.000000000000000
ABCF3	9.000000000000000	9648.781666685605160	0.262821419478940	0.000000000000000	0.000968679367129	794.082911152864540
ABCG2	2.000000000000000	14.605668823504326	0.277907394113424	0.000000000000000	0.000215262081584	116.934955918240149
ABCG5	2.000000000000000	1.467810012525810	0.274345951691962	0.000000000000000	0.000215262081584	75.447928495789668
ABHD10	2.000000000000000	46.107732100993786	0.277857527364077	0.000000000000000	0.000215262081584	1310.377754298805939
ABHD4	2.000000000000000	23.198030181675623	0.277924020341011	0.000000000000000	0.000215262081584	851.844165526445636
ABHD5	2.000000000000000	14.258884416124758	0.216628972463802	0.000000000000000	0.000215262081584	8.555330649674856
ABHD6	2.000000000000000	34.934490068352027	0.238916889528904	0.000000000000000	0.000215262081584	83.119993610906548
ABI1	56.000000000000000	24570.214925277279690	0.333560709413370	0.129220779220779	0.005248480934629	186.188687049176906
ABI2	18.000000000000000	13373.492633963467597	0.292952861422040	0.052287581699346	0.001836058931160	345.263623482080504
ABI3BP	5.000000000000000	2205.462995875491288	0.298438905306437	0.000000000000000	0.000538155203961	820.871496805110269
ABL1	231.000000000000000	462433.094051948108245	0.380031086387435	0.039864483342744	0.023871628925608	104.273577815361293
ABL2	27.000000000000000	12663.108919802994933	0.325201260063003	0.262108262108262	0.002144341505013	337.036208636235983
